,none,random,manifold,jem,jemo
abalone,0.021,0.0508,0.0405,0.032,0.042
arcene,0.1971,0.2352,0.2801,0.021,0.06
arrhythmia,0.2456,0.1611,0.104,,
iris,0.1788,0.2483,0.2885,0.48200000000000004,0.36700000000000005
phishing,0.0144,0.0176,0.0113,0.015,0.018000000000000002
moon,0.0014,0.0453,0.0266,,
sensorless_drive,0.0041,0.0899,0.025,0.023,0.027999999999999997
segment,0.0576,0.0272,0.0257,0.09699999999999999,0.22399999999999998
htru2,0.0059,0.0106,0.0077,,
heart,0.1392,0.2196,0.0999,,
mushroom,0.0009,0.0244,0.0249,0.021,0.017
wine,0.0668,0.0272,0.0369,0.006999999999999999,0.033
