model, dataset, id, acc, ece, oe, loss
jem, iris, 1615528341, 0.867,0.298, 0.000,0.598
jemo, iris, 1615528443, 0.733,0.299, 0.031,0.599
jem, iris, 1615528547, 1.000,0.438, 0.000,0.608
jemo, iris, 1615528649, 0.867,0.403, 0.000,0.780
jem, iris, 1615528756, 0.933,0.512, 0.000,0.876
jemo, iris, 1615528859, 0.933,0.386, 0.015,0.514
jem, segment, 1615528964, 0.562,0.295, 0.000,1.554
jemo, segment, 1615529119, 0.507,0.088, 0.019,1.486
jem, segment, 1615529279, 0.516,0.076, 0.016,1.431
jem, iris, 1615529523, 0.933,0.327, 0.000,0.546
jemo, iris, 1615529625, 0.800,0.196, 0.000,0.547
jem, iris, 1615529728, 1.000,0.380, 0.000,0.493
jemo, iris, 1615529832, 0.800,0.371, 0.000,0.863
jem, iris, 1615529937, 0.933,0.482, 0.000,0.804
jemo, iris, 1615530040, 0.933,0.367, 0.000,0.621
jem, segment, 1615530146, 0.572,0.225, 0.000,1.369
jemo, segment, 1615530304, 0.391,0.205, 0.000,1.834
jem, segment, 1615530459, 0.515,0.203, 0.000,1.516
jemo, segment, 1615530615, 0.533,0.218, 0.000,1.449
jem, segment, 1615530777, 0.542,0.097, 0.011,1.422
jemo, segment, 1615530933, 0.449,0.224, 0.119,2.210
jem, arcene, 1615531118, 0.560,0.127, 0.087,0.721
jemo, arcene, 1615531235, 0.560,0.064, 0.040,0.695
jem, arcene, 1615531353, 0.560,0.013, 0.007,0.688
jemo, arcene, 1615531472, 0.570,0.059, 0.000,0.690
jem, arcene, 1615531595, 0.560,0.021, 0.000,0.681
jemo, arcene, 1615531712, 0.570,0.060, 0.000,0.690
jem, phishing, 1615531823, 0.939,0.008, 0.000,0.154
jemo, phishing, 1615538658, 0.929,0.012, 0.004,0.165
jem, phishing, 1615545435, 0.939,0.009, 0.002,0.152
jemo, phishing, 1615552126, 0.946,0.010, 0.000,0.142
jem, phishing, 1615558901, 0.942,0.015, 0.005,0.144
jemo, phishing, 1615565674, 0.933,0.018, 0.005,0.162
jem, sensorless_drive, 1615572491, 0.092,0.022, 0.002,2.405
jemo, sensorless_drive, 1615607546, 0.095,0.019, 0.002,2.407
jem, sensorless_drive, 1615642546, 0.098,0.016, 0.002,2.406
jemo, sensorless_drive, 1615679054, 0.096,0.032, 0.004,2.415
jem, sensorless_drive, 1615714103, 0.095,0.023, 0.003,2.411
jemo, sensorless_drive, 1615749083, 0.093,0.028, 0.003,2.409
jem, abalone, 1615784368, 0.246,0.024, 0.007,2.116
jemo, abalone, 1615786948, 0.249,0.031, 0.004,2.026
jem, abalone, 1615789588, 0.222,0.051, 0.014,2.204
jemo, abalone, 1615792165, 0.249,0.013, 0.000,2.170
jem, abalone, 1615794708, 0.301,0.032, 0.000,2.050
jemo, abalone, 1615797312, 0.244,0.042, 0.009,2.027
jem, mushroom, 1615799881, 0.999,0.014, 0.000,0.017
jemo, mushroom, 1615804836, 1.000,0.010, 0.000,0.010
jem, mushroom, 1615809726, 0.998,0.010, 0.001,0.011
jemo, mushroom, 1615814913, 1.000,0.004, 0.000,0.004
jem, mushroom, 1615820082, 0.998,0.021, 0.000,0.029
jemo, mushroom, 1615824979, 0.999,0.017, 0.000,0.020
jem, wine, 1615830055, 0.483,0.070, 0.000,1.294
jemo, wine, 1615834487, 0.432,0.015, 0.001,1.340
jem, wine, 1615840382, 0.442,0.012, 0.004,1.329
jemo, wine, 1615846621, 0.412,0.030, 0.010,1.337
jem, wine, 1615852821, 0.446,0.007, 0.002,1.351
jemo, wine, 1615859193, 0.445,0.033, 0.013,1.415
